职位名称,公司名称,公司类型,融资情况,公司规模
云计算高级开发工程师 (MJ000474)【武汉-洪山区】,中望软件,计算机软件,科创板上市,1000-2000人
存储产品交付经理【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
产品经理【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
云计算解决方案架构师 (MJ007766)【深圳-南山区】,深信服科技股份有限公司,互联网,已上市,5000-10000人
高级软件开发工程师【成都-郫都区】,华为,通信设备, ,10000人以上
云网技术工程师【广州】,某广州知名互联网公司,互联网,融资未公开,100-499人
高级主任软件工程师（国产化）【成都-武侯区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
资深存储开发工程师（股权激励）【西安-未央区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
研发专家（数据库存储）（广成两地）【广州】,某北京知名计算机软件公司,计算机软件,战略融资,2000-5000人
金融行业技术架构师【北京】,某北京大型在线社交/媒体公司,在线社交/媒体,D轮及以上,10000人以上
电子技术研发工程师【深圳-南山区】,Baidu,互联网,美股上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
云网工程师【广州-黄埔区】,某广州互联网公司,互联网,融资未公开,100-499人
云网技术专家（央企-稳定不内卷）【广州】,某广州互联网公司,互联网,融资未公开,100-499人
技术文档工程师【杭州-余杭区】,网易集团,互联网,已上市,10000人以上
天翼云存储服务SRE【北京-东城区】,中国电信股份有限公司,运营商/增值服务,已上市,10000人以上
存储解决方案工程师/架构师【杭州-余杭区】,字节跳动,互联网,其他,10000人以上
分布式存储资深架构师【南京】,某深圳大型计算机硬件公司,计算机硬件,D轮及以上,5000-10000人
云存储测试工程师【成都】,亿达信息技术有限公司,计算机软件, ,2000-5000人
分布式存储资深架构师【南京-雨花台区】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
分布式存储软件架构师【南京】,某南京知名公司,互联网,融资未公开,10000人以上
存储产品经理【成都-武侯区】,字节跳动,互联网,其他,10000人以上
分布式存储技术专家【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
存储研发工程师/专家【成都】,某一线大厂,人工智能,D轮及以上,10000人以上
天翼云存储服务产品经理【成都】,天翼云科技有限公司,互联网,其他,2000-5000人
嵌入式软件开发【成都-高新区】,某计算机软件公司,计算机软件,融资未公开,100-499人
分布式存储开发工程师【西安-未央区】,西安奥卡云数据科技有限公司,计算机软件,融资未公开,100-499人
云网技术工程师【广州-天河区】,某广州知名互联网公司,互联网,融资未公开,100-499人
私有云架构师【北京-海淀区】,艾灵网络,计算机硬件,天使轮,50-99人
存储研发工程师【苏州-工业园区】,北京睿芯高通量科技有限公司,电子/半导体/集成电路, ,100-499人
解决方案（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
金融行业技术架构师【深圳】,某北京大型互联网公司,在线社交/媒体,D轮及以上,10000人以上
技术文档工程师【北京】,海致星图,云计算/大数据,D轮,100-499人
解决方案（存储）【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
解决方案架构师-零售行业-火山引擎【上海-徐汇区】,字节跳动,互联网,其他,10000人以上
