职位名称,公司名称,公司类型,融资情况,公司规模
System Engineer，Storage【上海-徐汇区】,闻泰通讯股份有限公司,电子/半导体/集成电路,战略投资,10000人以上
DPU 存储卸载架构师【西安】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
DPU 存储卸载架构师【北京】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
研发专家（存储）【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
数据中心Manager【广州】,文远知行WeRide,人工智能,C轮,100-499人
数据中心主管【上海】,文远知行WeRide,人工智能,C轮,100-499人
云计算解决方案架构师 (MJ007766)【深圳-南山区】,深信服科技股份有限公司,互联网,已上市,5000-10000人
云计算解决方案专家【深圳-南山区】,深信服科技股份有限公司,互联网,已上市,5000-10000人
网络运维工程师【深圳-福田区】,法本信息,IT服务,已上市,10000人以上
数据中心解决方案专家【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
技术支持工程师(Y2837)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
云计算产品经理-IaaS-云存储方向【北京】,上海浪潮云计算服务有限公司,通信设备,融资未公开,10000人以上
基础架构部-解决方案专家 (MJ006490)【深圳】,深信服科技股份有限公司,互联网,已上市,5000-10000人
块存储开发工程师/专家【上海-长宁区】,上海寻梦信息技术有限公司,电子商务,已上市,10000人以上
c语言开发工程师【成都】,华为,通信设备, ,10000人以上
软件开发工程师【成都】,华为技术有限公司成都研究所,通信设备, ,10000人以上
c语言软件工程师【成都】,华为技术有限公司成都研究所,通信设备, ,10000人以上
c语言软件工程师【成都-郫都区】,华为技术有限公司成都研究所,通信设备, ,10000人以上
测试开发工程师【北京】,华为,通信设备, ,10000人以上
测试工程师【北京-海淀区】,华为,通信设备, ,10000人以上
华为OD测试开发工程师【上海】,华为,通信设备, ,10000人以上
测试开发工程师-北京【北京-海淀区】,某通信企业,通信业,融资未公开,10000人以上
测试开发工程师-上海【上海-浦东新区】,某通信企业,通信业,融资未公开,10000人以上
硬件解决方案架构及应用优化工程师（经典传统存储方向）【北京-海淀区】,字节跳动,互联网,其他,10000人以上
云化软件开发工程师【上海-浦东新区】,华为,通信设备, ,10000人以上
分布式开发测试工程师【北京】,某深圳大型通信公司,通信设备,融资未公开,10000人以上
分布式存储开发工程师【青岛】,海尔卡奥斯物联生态科技有限公司,物联网, ,5000-10000人
安全测试工程师【北京-海淀区】,华为,通信设备, ,10000人以上
高级测试质量开发(存储)【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
华为OD研发/测试工程师【成都-郫都区】,华为,通信设备, ,10000人以上
c++软件开发工程师【成都-郫都区】,华为技术有限公司成都研究所,通信设备, ,10000人以上
c语言开发工程师【成都】,华为技术有限公司成都研究所,通信设备, ,10000人以上
运维工程师【天津】,和融期货有限责任公司,基金/证券/期货,融资未公开,50-99人
TEG09-高级存储平台运维工程师（深圳）【深圳】,腾讯,互联网,已上市,10000人以上
平台运维工程师【北京-海淀区】,北京仕才小筑科技有限公司,互联网,融资未公开,5000-10000人
分布式存储技术专家【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
ceph开发工程师【杭州-余杭区】,杭州瑞网广通信息技术有限公司,计算机硬件,融资未公开,100-499人
分布式存储高级研发工程师【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
c++开发工程师【杭州】,杭州瑞网广通信息技术有限公司,计算机硬件,融资未公开,100-499人
测试工程师(Q452)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
测试质量开发专家(存储)【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
C/C++开发工程师【长沙-岳麓区】,中兴通讯股份有限公司-无线产品经营部,通信设备, ,10000人以上
存储测试工程师【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级/中级测试工程师【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
高级测试质量开发(存储)【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
系统运维开发工程师-AML【杭州-余杭区】,字节跳动,互联网,其他,10000人以上
测试开发【成都-武侯区】,天翼云科技有限公司,互联网,其他,2000-5000人
测试专家（存储方向）【北京】,天翼云科技有限公司,互联网,其他,2000-5000人
测试质量开发专家(存储)【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储测试工程师【杭州】,之江实验室,人工智能, ,2000-5000人
分布式存储运维开发工程师【杭州】,抖音视界有限公司,计算机软件,D轮,10000人以上
测试开发【北京-海淀区】,天翼云科技有限公司,互联网,其他,2000-5000人
分布式存储产品化开发工程师【杭州】,抖音视界有限公司,计算机软件,D轮,10000人以上
云存储架构师【上海-徐汇区】,焜耀网络科技,区块链,天使轮,100-499人
云存储架构师【上海】,某上海区块链公司,区块链,天使轮,100-499人
云存储架构师【上海-徐汇区】,某上海区块链公司,区块链,天使轮,100-499人
原生操作系统研发工程师【长沙-开福区】,麒麟软件,计算机软件,战略投资,2000-5000人
校招-运维工程师(J10170)【北京-海淀区】,北京中科闻歌科技股份有限公司,云计算/大数据,D轮,500-999人
运维工程师(J10042)【北京-海淀区】,北京中科闻歌科技股份有限公司,云计算/大数据,D轮,500-999人
存储系统架构师【上海】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
Digital Design Manager/Engineer（DPU）【上海】,某知名公司,计算机硬件,战略融资,100-499人
研发专家（存储）【上海】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
SSD固件研发工程师【上海-闵行区】,字节跳动,互联网,其他,10000人以上
数字验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
DV Engineer (DPU) 上海、苏州【上海】,某知名公司,计算机硬件,战略融资,100-499人
售后技术支持经理【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
数字验证主管【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
SSD固件研发工程师【上海-闵行区】,某北京大型互联网/电商公司,在线社交/媒体,D轮及以上,10000人以上
研发专家（分布式存储/存储引擎）【上海】,某互联网科技公司,互联网/电商,已上市,10000人以上
系统运维工程师【上海】,宝信,互联网,沪深A股上市,2000-5000人
逻辑设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储研发工程师【上海-闵行区】,某北京大型互联网/电商公司,在线社交/媒体,D轮及以上,10000人以上
逻辑设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
数字验证工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
资深分布式存储工程师【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
数字设计工程师【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
数字设计主管【上海-徐汇区】,芯潮流(珠海)科技有限公司,计算机软件, ,1-49人
研发专家（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级后端开发工程师（混合云存储方向）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
高级软件工程师 - 元数据服务【上海-浦东新区】,SmartX,计算机软件,C轮,100-499人
存储架构工程师【上海】,网岳信息,通信设备,融资未公开,100-499人
DPU 存储卸载架构师【上海】,深圳云豹智能有限公司,电子/半导体/集成电路,B轮,100-499人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
存储产品测试工程师【上海】,上海霄云信息科技有限公司,互联网,A轮,1-49人
研发专家（存储）【上海-浦东新区】,天翼云科技有限公司,互联网,其他,2000-5000人
System Engineer，Storage【上海-徐汇区】,闻泰通讯股份有限公司,电子/半导体/集成电路,战略投资,10000人以上
数据中心主管【上海】,文远知行WeRide,人工智能,C轮,100-499人
块存储开发工程师/专家【上海-长宁区】,上海寻梦信息技术有限公司,电子商务,已上市,10000人以上
华为OD测试开发工程师【上海】,华为,通信设备, ,10000人以上
测试开发工程师-上海【上海-浦东新区】,某通信企业,通信业,融资未公开,10000人以上
云化软件开发工程师【上海-浦东新区】,华为,通信设备, ,10000人以上
云存储架构师【上海-徐汇区】,焜耀网络科技,区块链,天使轮,100-499人
云存储架构师【上海】,某上海区块链公司,区块链,天使轮,100-499人
云存储架构师【上海-徐汇区】,某上海区块链公司,区块链,天使轮,100-499人
C软件开发工程师（分布式块存储）【杭州-滨江区】,杭州宏杉科技股份有限公司,计算机硬件, ,500-999人
